pai_version,fiscal_year,indicator_id,mandatory,kind,indicator,numerator,denominator,source_url,retrieved_utc
PAI 1.0,2022-2023,145,Mandatory,binary,Whether the issues related to children are discussed in the Gram Sabha,Whether the issues related to children are discussed in the Gram Sabha,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=8&s=1,2026-09-06T06:53:14Z
PAI 1.0,2022-2023,454,Mandatory,binary,Whether Self Help Group(SHG)/ Primary Level Federation(PLF) has been part of Preparing GPDP,Presentation by SHG regarding poverty issues & poverty reduction plans,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=8&s=1,2026-09-06T06:53:14Z
PAI 1.0,2022-2023,455,Mandatory,ratio,Percentage of committees /CBO involved in GPDP Planning,number of committees /Community Based Organization involved in GPDP planning,Total Committees/CBO,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=8&s=1,2026-09-06T06:53:14Z
PAI 1.0,2022-2023,456,Mandatory,ratio,Percentage of departments participated in Preparation of GPDP,number of departments participated in preparation of GPDP,"Total number of Departments, participated in Gram Sabha",https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=8&s=1,2026-09-06T06:53:14Z
PAI 1.0,2022-2023,458,Mandatory,binary,Whether GP has established partnership with Non-Government Organization (NGO)/Community Based Organization/Private Sector /Instution,Number of Partnership established with NGO /CBO/Private sector/institutions,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=8&s=1,2026-09-06T06:53:14Z
PAI 1.0,2022-2023,459,Optional,ratio,Percentage of Youth and Children participation in at least in one IEC,Number of Youth and Children participation in at least in one IEC,Total youth and children population,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=8&s=1,2026-09-06T06:53:14Z
PAI 1.0,2022-2023,460,Mandatory,ratio,Percentage of women participation in at least in one IEC,Number of women who have participated in atleast in one IEC/ awareness campaign,Total number of women,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=8&s=1,2026-09-06T06:53:14Z
PAI 1.0,2022-2023,461,Mandatory,binary,Whether 9 Themes of LSDGs are being used in IEC by GP involving Committees,Number of themes (out of 9 LSDGs themes) in which IEC conducted involving Committees,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=8&s=1,2026-09-06T06:53:14Z
PAI 1.0,2022-2023,462,Mandatory,binary,Whether activities conducted for youth and children during the refernce year,Number of Activities conducted for youth and children by GP,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=8&s=1,2026-09-06T06:53:14Z
PAI 1.0,2022-2023,463,Mandatory,ratio,Percentage of activities supported by SHG to the total number of activities of Gram Panchayat,Number of activities in GP supported by SHGs,Total number of activities,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=8&s=1,2026-09-06T06:53:14Z
