item,n,difference_sd,hc2_conf_low_sd,hc2_conf_high_sd,hc2_p_value
ward-committee attendance share,669,0.17606799926824696,0.012435746325234281,0.33970025221125966,0.034993187541531474
general-body attendance share,669,-0.08547917858756128,-0.25018800304010774,0.0792296458649852,0.3085632699502435
questions asked in council,669,-0.2111239527801861,-0.380354390781696,-0.041893514778676255,0.014557772678566483
