item,n,difference_sd,hc2_conf_low_sd,hc2_conf_high_sd,hc2_p_value
quality_of_life,454,-0.08581415964960762,-0.2927724578559545,0.1211441385567393,0.41557185385806017
recall_party,454,-0.053572308312129155,-0.2605894822269426,0.15344486560268433,0.611302093853468
"satisfaction (2016 only; 2018 inverted, 2011 not asked)",227,-0.03787169889322949,-0.40134232406018344,0.32559892627372444,0.837503007871489
recall_name,454,-0.034306648784071005,-0.24419605754712492,0.17558275997898293,0.7481911736595938
gardens,681,-0.015516766864014354,-0.1859038709761528,0.1548703372481241,0.8581407694420452
pollution,681,-0.002421056046848462,-0.1694765589634319,0.16463444686973494,0.9773070386987133
corruption,681,0.007141167120303797,-0.16060265466743792,0.17488498890804552,0.9334079756225986
accessibility,454,0.009210478839659152,-0.194730454647113,0.21315141232643128,0.9293156669099909
crime,681,0.015703646301576158,-0.15119932540965045,0.18260661801280278,0.8534877601319493
transport,681,0.019468424759161475,-0.15047809532052428,0.18941494483884722,0.8221027066781302
traffic,681,0.022374864770048086,-0.1487133539069991,0.19346308344709526,0.7974242410705602
flooding,681,0.030197561891419377,-0.13722409171823838,0.1976192155010771,0.7233372959883042
roads,681,0.03319876537892875,-0.1396655683782658,0.20606309913612328,0.7062264349419527
sanitation,681,0.08280584606314752,-0.08582515133196743,0.25143684345826245,0.33530955431594667
hospitals,681,0.08792506205584226,-0.08251622561436582,0.2583663497260503,0.3114729245776144
water,681,0.09603080038432243,-0.07021560855862677,0.2622772093272716,0.2571181814017815
power,681,0.10313761909349287,-0.06324423287135483,0.26951947105834057,0.22397891207628776
law_order,681,0.10356069982339262,-0.06258513836858233,0.2697065380153676,0.2214312976393157
schools,681,0.1358770426591687,-0.03502157310340029,0.3067756584217377,0.11896546734047092
