pai_year,sample,n,informative_strata,assignment_blocks,control_mean,control_sd,raw_difference,effect_points,hc2_std_error,hc2_conf_low,hc2_conf_high,hc2_p_value,cr2_std_error,cr2_conf_low,cr2_conf_high,cr2_p_value,prior_adjusted_effect,effect_sd,hc2_conf_low_sd,hc2_conf_high_sd,randomization_p_value,randomization_repetitions
2023-2024,PAI 2.0 primary,5422,683,291,66.09890033100405,12.07670626844629,-0.059359080541597414,-0.05047252469676839,0.27419725818806656,-0.5880265978283361,0.4870815484347993,0.8539634559508988,0.2545439626637842,-0.5519120076405265,0.4509669582469897,0.8429900176996206,0.032055214945695944,-0.004179328665850035,-0.04869097457182651,0.04033231724012643,0.847,4999
2022-2023,PAI 1.0 replication,4223,537,219,55.65167222486899,9.742331521018926,-0.007274861403826187,0.25086810324586833,0.26095194973757474,-0.2607563657225846,0.7624925722143212,0.33643554213082805,0.25085019035369804,-0.24400505718037124,0.7457412636721075,0.3185735607998443,0.030230802379422838,0.02575031476855662,-0.026765293827253452,0.07826592336436669,0.3384,4999
