sample,outcome,n,informative_strata,assignment_blocks,control_mean,control_sd,raw_difference,strata_adjusted_difference,hc2_std_error,hc2_conf_low,hc2_conf_high,hc2_p_value,cr2_std_error,cr2_conf_low,cr2_conf_high,cr2_p_value,difference_sd,hc2_conf_low_sd,hc2_conf_high_sd,randomization_p_value,randomization_repetitions
14-item index (primary),an_rating_index14,681,4,454,-0.02690684496471034,0.7694164323648632,0.06007725056054983,0.051391691242138667,0.0665802178708366,-0.07933719807471609,0.1821205805589934,0.44045744795604636,0.0666061804450578,-0.07959504419791699,0.1823784266821948,0.44087284817587147,0.06679307729909299,-0.10311346981616552,0.2366996244143515,0.4404,4999
"18-item index, 2012 and 2017",an_rating_index18,454,3,454,-0.03472673015462262,0.6338581458232412,0.06884687986986304,0.04408050282843305,0.06806865229626856,-0.08969139327587182,0.1778523989327379,0.5175811223930448,0.06788157953295403,-0.08957483009423241,0.17773583575109853,0.5166588967239134,0.06954316690398016,-0.14150073461528617,0.2805870684232465,0.5196,4999
"14-item index, disputed ward dropped",an_rating_index14,605,3,454,-0.01483795186876561,0.7655266869452353,0.043347768362524415,0.04063620849477073,0.06620157774727406,-0.08937832901418014,0.1706507460037216,0.5395629845658954,0.0658646649631663,-0.08888294844063435,0.1701553654301761,0.5376399056068952,0.05308268044439552,-0.11675403423339327,0.2229193951221843,0.5378,4999
