metric,value
standardized_release_rows,212525
winner_rows,49773
winner_districts,67
winner_district_blocks,728
women_reserved_rows,16774
women_reserved_share,0.3370100255158419
manual_gp_name_overrides,17
normalized_name_collision_rows,56
link_eligible_rows,49717
