council,survey_year,wards,women_reserved,deposit_disagreements,women_councillors,index14_mean_open,index14_mean_reserved,index18_available,satisfaction_available
2007,2011,227,76,0,89,-0.007542960839301288,0.014986672193875283,0,0
2012,2013,227,115,1,121,-0.08779370870830047,0.0855034380463446,227,227
2012,2014,226,115,1,121,0.03065897026906504,-0.029592571303184247,226,226
2012,2015,227,115,1,116,-0.007483392970122933,0.007288174023075971,227,227
2012,2016,227,115,1,119,-0.07108982566534754,0.06923530847407766,227,227
2017,2018,227,114,0,130,-0.008990496862634105,0.008911632855067016,227,0
